cust_id,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure
C10001,-0.7319893664465486,0.818182,-0.424899735240609,-0.3569340222066546,-0.34907881901383864,-0.4667855542850508,0.166667,0.0,0.083333,0.0,0.0,-0.511333250061439,-0.40816326530612246,-0.5289787906610074,-0.3024081328837979,0.0,1.0
C10002,0.7869608532656136,0.909091,-0.4695518820955651,-0.3569340222066546,-0.4545762302747729,2.6056045083204533,0.0,0.0,0.0,0.16666666666666666,0.032520325203252036,-0.5917958767710622,0.8163265306122449,0.8186421271164631,0.09732029095799474,0.222222,1.0
C10003,0.44713513198032884,1.0,-0.10766823027327539,0.1088885127680007,-0.4545762302747729,-0.4667855542850508,1.0,1.0,0.0,0.0,0.0,-0.10902011651332345,0.9183673469387755,-0.3838047379522192,-0.09339101072641882,0.0,1.0
C10004,0.04909913946878367,0.636364,0.23205784678891347,0.5461894563646923,-0.4545762302747729,-0.3686532543762061,0.083333,0.083333,0.0,0.05555533333333333,0.008130081300813009,-0.5515645634162506,0.9183673469387755,-0.5986882602099773,-0.1269369302332476,0.0,1.0
C10005,-0.3587752952564145,1.0,-0.4620630524343565,-0.34729427860615986,-0.4545762302747729,-0.4667855542850508,0.083333,0.083333,0.0,0.0,0.0,-0.5515645634162506,-0.3673469387755102,-0.36436780341352376,-0.2572938369572826,0.0,1.0
C10006,0.11787839226261683,1.0,0.1544922935729456,-0.3569340222066546,1.0198219718843307,-0.4667855542850508,0.666667,0.0,0.583333,0.0,0.0,-0.2699453699325697,-0.24489795918367346,-0.11505953571863932,0.669342580803727,0.0,1.0
C10007,-0.4502772182552461,1.0,2.8494084938998494,3.5005479508455557,0.30666389513195613,-0.4667855542850508,1.0,1.0,1.0,0.0,0.0,1.9830081779368776,2.142857142857143,1.5963132599542043,-0.2773161766132232,1.0,1.0
C10008,0.1245200221560722,1.0,-0.26538766345686626,-0.3569340222066546,0.027792436308241134,-0.4667855542850508,1.0,0.0,1.0,0.0,0.0,-0.10902011651332345,-0.14285714285714285,-0.36411552579040707,-0.13420705802719626,0.0,1.0
C10009,-0.26402625090706594,1.0,-0.06632989054340402,0.041603102436547745,-0.2334076532078247,-0.4667855542850508,0.333333,0.083333,0.25,0.0,0.0,-0.39063930999700436,0.8163265306122449,-0.3609328667760588,-0.228509799069936,0.0,1.0
C10010,-0.6785040237975313,0.545455,0.13030337376724188,0.41520944019297057,-0.4545762302747729,-0.4667855542850508,0.166667,0.166667,0.0,0.0,0.0,-0.4711019367066275,1.6326530612244898,-0.1963359235272189,-0.3192090022239926,0.0,1.0
C10011,-0.13036795248653588,1.0,-0.03888801035361285,-0.3569340222066546,0.562931925379429,-0.4667855542850508,1.0,0.0,1.0,0.0,0.0,-0.10902011651332345,-0.3673469387755102,-0.2244783558175378,0.5688359857498764,0.0,1.0
C10012,-0.44857936511250573,0.818182,0.22886573314582334,0.5420805156549815,-0.4545762302747729,-0.4667855542850508,0.25,0.25,0.0,0.0,0.0,-0.3504079966421928,-0.20408163265306123,-0.35494300635995996,-0.29553511855319325,0.0,1.0
C10013,-0.022843207246887116,1.0,1.0366343029964715,1.1494144866848988,0.33915355910309086,-0.4667855542850508,1.0,0.25,0.916667,0.0,0.0,0.4542182704540384,0.0,-0.388572793285019,-0.15213039227163866,0.25,1.0
